county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty
BIR ALI BEN KHALIFA,"1,1","6,4","2,6","17,4"
EL GHRAIBA,"0,8","7,0","4,0","14,5"
SKHIRA,"0,5","8,0","2,9","12,4"
MENZEL CHAKER,"0,7","8,8","3,6","12,2"
HENCHA,"0,6","8,2","4,6","11,8"
AGAREB,"0,6","6,3","4,1","10,7"
EL MAHRES,"0,3","10,9","3,9","8,9"
JEBENIANA,"0,8","8,0","2,0","8,7"
EL AMERA,"1,0","7,6","5,3","6,8"
TINA,"0,5","4,3","1,5","6,2"
KERKENA,"0,4","8,5","3,2","4,6"
SAKIET EDDAIER,"0,6","6,0","2,4","3,2"
SAKIET EZZIT,"0,5","4,7","1,7","3,2"
SFAX OUEST,"0,3","5,1","1,9","3,0"
SFAX SUD,"0,4","4,7","1,3","3,0"
SFAX Ville,"0,2","4,9","2,3","2,5"
