county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty
HASSI FRID,"3,5","25,6","7,4","53,5"
JEDELIANE,"0,5","6,1","4,7","53,1"
EL AYOUN,"1,3",17,"2,6","50,1"
MAJEL BEN ABBES,"0,8",9,"3,9","41,4"
HAIDRA,"0,3","8,4","8,1","39,8"
SBIBA,"1,9",9,"5,1","37,1"
FERIANA,"0,8","9,6","4,1","36,9"
KASSERINE SUD,"1,5","8,1","4,6","34,0"
SBITLA,"1,3","9,4","3,2","33,0"
FOUSSANA,"1,4","9,9","3,5","31,5"
TALA,"0,4","7,2","1,6","30,9"
EZZOUHOUR,"1,6","9,1","10,4","27,8"
KASSERINE NORD,"0,8","7,2","1,9","18,9"
