county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty
SEJOUMI,"1,1","4,1","2,7","11,5"
JEBEL JLOUD,"0,4","8,0","3,9","9,5"
SIDI HASSINE,"0,3","8,4","3,6","9,4"
LA MEDINA,"0,1","6,7","4,8","6,6"
EL OMRANE,"0,3","6,7","3,3","6,3"
EL HARAIRIA,"0,3","6,6","3,0","6,1"
KABBARIA,"0,2","5,2","2,4","5,3"
BAB SOUIKA,"0,2","12,1","6,2","4,5"
SIDI EL BECHIR,"0,1","8,4","4,3","4,2"
EZZOUHOUR,"0,1","9,3","3,5","4,0"
EL OUERDIA,"0,1","6,8","3,4","3,9"
EL OMRANE SUPERIEUR,"0,1","6,5","3,2","3,5"
EL KRAM,"0,1","3,8","1,7","3,0"
EL MARSA,"0,2","6,7","3,4","2,2"
ETTAHRIR,"0,0","7,4","3,7","2,0"
BARDO,"0,1","5,3","3,2","1,8"
BAB BHAR,"0,1","4,5","2,8","1,6"
CARTHAGE,"0,0","6,5","3,6","1,6"
CITE EL KHADRA,"0,1","4,1","1,7","1,4"
LA GOULETTE,"0,1","7,1","4,4","1,1"
EL MENZAH,"0,0","1,7","1,1","0,2"
