county,dropout_rate_primary,dropout_rate_secondary,dropout_rate_ps,poverty
KONDAR,"0,8","20,7","4,9","28,7"
SIDI EL HENI,"1,1","13,0","4,2","27,9"
ENFIDA,"0,3","8,3","4,0","23,8"
BOUFICHA,"0,3","10,2","3,9","21,9"
SIDI ABDELHAMID,"0,2","9,2","0,5","17,7"
ZAOUIA KSIBA THRAYET,"0,5","5,8","2,3","17,3"
SIDI BOU ALI,"0,6","6,1","4,1","16,5"
HERGLA,"0,7","3,8","4,6","16,3"
KALAA KEBIRA,"0,5","6,0","3,9","16,2"
KALAA SGHIRA,"0,4","5,9","4,4","15,1"
MSAKEN,"0,4","6,8","3,1","14,1"
SOUSSE RIADH,"0,2","5,9","2,8","10,7"
AKOUDA,"0,3","4,9","3,4","9,3"
HAMMEM SOUSSE,"0,1","4,1","1,8","8,5"
SOUSSE JAWHARA,"0,2","6,6","1,7","7,0"
SOUSSE EL MEDINA,"0,2","7,2","3,7","5,5"
